run,variable,waypoint,bias,mae,rmse,correlation,n_obs
nam_2way_d02,pressure_surface,USU07,59.31875,59.31875,60.98635661653658,0.9604253145460484,5
nam_2way_d02,temp_2m,USU08,3.450753173828148,3.450753173828148,3.597208334355484,0.8104868729051116,5
nam_2way_d02,wind_speed_10m,USU08,NaN,NaN,NaN,NaN,0
nam_2way_d02,wind_dir_10m,USU08,158.3826934814453,158.3826934814453,181.9841607702075,NaN,5
nam_2way_d02,pressure_surface,USU08,-229.0734375,229.0734375,230.81134464936434,0.9504956399768208,5
nam_2way_d02,temp_2m,UUT01,1.2209421386718973,1.2209421386718973,1.6313417725163848,0.9483635852305538,5
nam_2way_d02,wind_speed_10m,UUT01,1.6348349385261536,1.6348349385261536,2.0506941029106764,0.6604440936291169,5
nam_2way_d02,wind_dir_10m,UUT01,1.061856811523444,133.52039416503905,172.8214044303629,-0.8732543521827151,5
nam_2way_d02,pressure_surface,UUT01,-207.8671875,207.8671875,208.22317354809815,0.9954961957853106,5
nam_1way_d02,temp_2m,KVEL,1.0440075683593975,1.3894104003906385,1.5537840690713,0.7494165503792781,5
nam_1way_d02,wind_speed_10m,KVEL,0.11946211272478102,0.6811824429631234,0.7471899145262827,0.26307876608587455,5
nam_1way_d02,wind_dir_10m,KVEL,105.8244140625,200.03682861328124,231.21550401334608,-0.43663252619569765,5
nam_1way_d02,pressure_surface,KVEL,95.4203749999986,95.4203749999986,97.4537201743476,0.9570313840573178,5
nam_1way_d02,temp_2m,QRS,1.1238122558593981,1.1238122558593981,1.4103372215281649,0.9180184763260638,5
nam_1way_d02,wind_speed_10m,QRS,0.6523289575576783,0.8754806661605835,1.3092919483723138,-0.3007084122723234,5
nam_1way_d02,wind_dir_10m,QRS,79.94786962890625,100.9491884765625,140.51458098779676,-0.4606140471784442,5
nam_1way_d02,pressure_surface,QRS,NaN,NaN,NaN,NaN,0
nam_1way_d02,temp_2m,QV4,-2.6175476074218524,2.6175476074218524,3.2083588113460624,0.8070463020369915,5
nam_1way_d02,wind_speed_10m,QV4,-0.5596914784908295,0.6880868260860442,0.7376666666849406,-0.05971506627230081,5
nam_1way_d02,wind_dir_10m,QV4,-68.88670043945312,119.47612915039062,138.49632979909674,0.221487508992666,5
nam_1way_d02,pressure_surface,QV4,NaN,NaN,NaN,NaN,0
nam_1way_d02,temp_2m,USU01,2.9539379882812726,2.9539379882812726,3.315371824734362,0.41775298504685054,5
nam_1way_d02,wind_speed_10m,USU01,0.33083261311054224,1.4301767271757124,1.5680934989148152,-0.6319135741307689,5
nam_1way_d02,wind_dir_10m,USU01,-19.78343505859375,99.11653442382813,110.08533586555713,-0.3338268970137399,5
nam_1way_d02,pressure_surface,USU01,135.1390625,135.1390625,139.5831124308342,0.9356280086597955,5
nam_1way_d02,temp_2m,USU02,0.8955285644531479,1.3034875488281294,1.753084776600949,0.9522612957066448,5
nam_1way_d02,wind_speed_10m,USU02,0.8846364784240723,0.9066236877441405,1.1076574539327884,0.45683116124003065,5
nam_1way_d02,wind_dir_10m,USU02,-24.3404296875,108.92738037109375,128.0015049927416,0.2495072683856892,5
nam_1way_d02,pressure_surface,USU02,280.5375,280.5375,281.0553004466909,0.9756827154677852,5
nam_1way_d02,temp_2m,USU03,-1.307595214843727,1.4602929687499864,1.794760267045184,0.9838097995189947,5
nam_1way_d02,wind_speed_10m,USU03,0.049052205085754384,0.8695462274551392,0.9383899716764437,0.057222894373866476,5
nam_1way_d02,wind_dir_10m,USU03,10.228976440429687,80.89006042480469,124.7508575334647,-0.30205885243006475,5
nam_1way_d02,pressure_surface,USU03,135.3640625,135.3640625,136.41861703853704,0.945781183660456,5
nam_1way_d02,temp_2m,USU04,5.094166259765648,5.365784912109389,6.418845147963473,-0.5461848196432476,5
nam_1way_d02,wind_speed_10m,USU04,-1.7752994775772095,1.7752994775772095,1.9076557482615935,0.19295226347652772,5
nam_1way_d02,wind_dir_10m,USU04,108.10029296875,108.10029296875,127.93293234064154,NaN,5
nam_1way_d02,pressure_surface,USU04,-2402.4859375,2402.4859375,2402.759964084495,-0.15064876404776126,5
nam_1way_d02,temp_2m,USU05,-1.0225244140624774,2.2966040039062454,2.8701146558456365,-0.1321656164915502,5
nam_1way_d02,wind_speed_10m,USU05,2.058031210899353,2.058031210899353,2.363664818857923,0.7572990779125199,5
nam_1way_d02,wind_dir_10m,USU05,-124.58777236938477,126.64187240600586,151.35675422774088,-0.26639353887552525,4
nam_1way_d02,pressure_surface,USU05,66.1515625,66.1515625,67.30964052436717,0.9814772589787323,5
nam_1way_d02,temp_2m,USU07,-1.7844946289062271,2.1070043945312364,2.778325207008367,0.9715563282410418,5
nam_1way_d02,wind_speed_10m,USU07,1.5842942953109742,1.5842942953109742,1.7001751885394785,NaN,5
nam_1way_d02,wind_dir_10m,USU07,190.54400634765625,190.54400634765625,192.08832886231846,NaN,2
nam_1way_d02,pressure_surface,USU07,57.4125,57.4125,59.39138363597292,0.9544308670138183,5
nam_1way_d02,temp_2m,USU08,3.441158447265648,3.441158447265648,3.5816110576947127,0.8160246584401918,5
nam_1way_d02,wind_speed_10m,USU08,NaN,NaN,NaN,NaN,0
nam_1way_d02,wind_dir_10m,USU08,159.8464141845703,159.8464141845703,184.76141001364655,NaN,5
nam_1way_d02,pressure_surface,USU08,-233.80625,233.80625,235.41223385506711,0.9529278896502316,5
nam_1way_d02,temp_2m,UUT01,1.4192880859375223,1.4192880859375223,1.719687323319668,0.960567054598645,5
nam_1way_d02,wind_speed_10m,UUT01,1.6906932048797607,1.6906932048797607,2.0813770218102703,0.6991570853078981,5
nam_1way_d02,wind_dir_10m,UUT01,-7.035698730468743,128.0097587890625,170.2904480018856,-0.8949703317370052,5
nam_1way_d02,pressure_surface,UUT01,-207.9390625,207.9390625,208.34811253893125,0.9950850516181914,5
