variable,waypoint,n_runs,bias_std,mae_std,rmse_std,correlation_std,bias_range,mae_range,rmse_range,correlation_range
wind_dir_10m,USU04,4,59.57510792938057,11.59984164729176,8.355678486378018,NaN,129.28079528808593,25.71725158691406,15.798686881773662,0.0
wind_dir_10m,USU05,4,57.601448658444056,56.91813120540896,52.762178738493475,0.33527087507926484,116.85779190063477,139.40591594151087,129.19655338601166,0.6109399842360181
wind_dir_10m,USU07,4,61.8970862634026,51.56506963653641,49.03181863454697,NaN,131.241215297154,110.17260306222099,103.89555063182956,0.0
wind_dir_10m,USU08,4,41.52587339717699,41.52587339717699,49.2331123690348,NaN,87.92430725097655,87.92430725097655,105.60730484951505,0.0
wind_dir_10m,UUT01,4,53.739996241047585,34.282906426866155,29.863018216010172,0.6085318395438633,127.65949114990234,82.43823211669924,70.78106396489788,1.2914898182210912
wind_speed_10m,KVEL,4,0.579244697685485,0.5287526902653532,0.5855627707041755,0.2720711117450524,1.2279523134231567,1.163924201965332,1.2964986018201816,0.6620108675859238
wind_speed_10m,QRS,4,0.3418034479852048,0.3187186890551725,0.3996768551759415,0.3864595601568903,0.7336749403476714,0.7707585437297821,0.9471846310587171,0.8031388983780438
wind_speed_10m,QV4,4,0.4896586598999282,0.240002409534495,0.3506189795950987,0.24766000107637262,1.049275928735733,0.5871206724643707,0.8153449988953888,0.5557350223642166
wind_speed_10m,USU01,4,0.6226932530464422,0.18224446099433517,0.22090670672356885,0.560967721059413,1.1991563528776168,0.4331547427177429,0.46983677711806804,1.1984284617169907
wind_speed_10m,USU02,4,0.6758120796892572,0.6122323785185587,0.6968446729867354,0.4771937050985347,1.4656759440898894,1.2921185135841373,1.5040336931033536,1.0638544380457953
wind_speed_10m,USU03,4,0.6897340996452206,0.32836267081578935,0.4231618296956339,0.4556516057601689,1.5241029739379883,0.7246709641814232,0.8875195452098243,0.9773636943271682
wind_speed_10m,USU04,4,1.2223390809698818,0.2287693971163619,0.23361953171543948,0.24130828441615837,2.629593917131424,0.5210969281196591,0.5263745966477973,0.5524720423228531
wind_speed_10m,USU05,4,0.27402935243394666,0.27402935243394666,0.6392025982667604,0.5265363721246874,0.6077455282211304,0.6077455282211304,1.3651329890385693,1.095897744107029
wind_speed_10m,USU07,4,0.36525693979184126,0.36525693979184126,0.5068666241892821,NaN,0.8412223398685454,0.8412223398685454,1.1331281407899447,0.0
wind_speed_10m,USU08,4,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
wind_speed_10m,UUT01,4,0.7788629858744175,0.6924185239608114,0.8061900351623758,0.1477413902891171,1.8768845213651657,1.6832367807626725,1.9730380045077496,0.3218785121180262
